Bigram,Frequency
client covered,1801
covered r2000,1106
r280 excess,1012
r2000 r280,965
litre r,825
the client,697
leaking geyser,657
burst geyser,586
client r2000,558
client called,541
geyser heating,497
blocked drain,476
r280 r600,452
heating up,445
covered first,435
_x000d_ _x000d_,423
possible burst,423
client reported,401
excess r280,383
called report,369
leaking pipe,360
client liable,349
south africa,349
reported leaking,319
r 10,275
first parts,268
geyser replacement,256
there r280,246
geyser client,242
exceeds r600,232
r600 there,221
excess cost,210
called said,207
r 11,206
r2000 excess,199
r2000 cover,194
report leaking,192
if burst,190
clients geyser,181
client leaking,177
150 litre,170
200 litre,170
100 litre,168
250 litre,167
excess client,167
geyser repair,165
50 litre,164
africa client,163
r280 r600_x000d_,162
cover r2000,161
00 r280,159
_x000d_ client,159
r2000 r600,159
to report,159
r2000 00,157
_x000d_ location,156
called to,156
cost r600,155
repairs r,155
called advise,154
client pay_x000d_,152
excess if,148
geyser burst,147
r 1750,147
r600 client,146
client mr,143
damage report,142
reported geyser,140
period insurance,139
10 774,138
13 193,138
20 714,138
bill r600,138
r 13,138
r 20,138
10 640,137
excess event,137
11 261,136
parts _x000d_,136
reported blocked,136
client advised,135
call out,134
leaking toilet,134
covered 1,133
liable parts,129
geyser leaking,128
repair r,128
burst pipe,127
replacement r,127
needs assistance,126
report quote,126
cover limit,125
geyser unit,125
reported possible,125
covered callout,124
geyser covered,124
bill exceeds,123
called reporting,123
event bill,123
minus r280,123
r600 excess,119
service provider,118
up client,118
if amount,116
amount exceeds,115
drain client,115
limit minus,114
r2000 bill,113
geyser tripping,112
liable pay,112
193 95_x000d_,111
45_x000d_ 200,111
covered 2000,111
714 95_x000d_,110
774 45_x000d_,110
95_x000d_ 100,110
95_x000d_ 150,110
261 95_x000d_,109
280 should,109
640 95_x000d_,109
95_x000d_ 250,109
geyser the,108
solar geyser,108
r600 _x000d_,107
will be,106
95_x000d_ repairs,103
advised geyser,103
water heating,103
advised client,102
including parts,102
r2000 including,102
2000 280,100
client mrs,100
leak detection,100
parts are,100
callout 1,99
liable r280,99
south africa_x000d_,97
client needs,95
excess payable,95
first client,95
excess r600,94
should 600,93
commencing inception,92
geyser _x000d_,92
inception review,92
monthly paid,92
paid policies,92
hot water,91
report blocked,90
drain machine,89
geyser no,88
advised leaking,87
parts r600,87
r600 if,87
r280 cost,86
repair parts,86
review date_x000d_,86
no geysers,85
pipe client,84
r2000 repairs,84
report quotation,84
cost r600_x000d_,83
burst please,82
excesses_x000d_ geyser,82
if geyser,82
s r600,82
may be,81
bill s,80
repairs bill,80
report possible,80
client blocked,79
repairs cost,79
1750 00,78
are needed,78
client service,78
payable client,78
can be,76
leaking tap,76
hour labor,75
no excess,75
any parts,74
r280 repairs,74
advise geyser,73
faulty geyser,73
hours labour,73
out and,72
be required,71
covered labor,71
excess r1500,71
pay parts_x000d_,71
r 1500_x000d_,71
1 hours,70
1500_x000d_ geyser,70
labour repair,70
needs urgent,70
cape town,69
geyser replacements,69
callout first,68
excluding vat,68
report a,68
said geyser,68
be repaired,67
geyser is,67
please send,67
geyser cover,66
1750 00_x000d_,65
cover r280,65
first only,65
geyser components,65
1st hour,64
drain the,64
exceed r600,63
excess when,63
geyser limits,63
quotation may,63
covered for,62
if any,62
if can,62
reporting leaking,62
the clients,62
the geyser,62
only client,61
repaired client,61
report geyser,61
tripping electricity,61
be r600,60
co za,60
provider damage,60
r 250,60
and 1st,59
quote needed,59
send quote,59
be sent,58
burst sp,58
labor if,58
quote be,57
own account,56
pretoria south,56
quote required,56
when r600,56
broker reported,55
concealed leak,55
leaking client,55
burst quote,54
cover callout,54
report client,54
water coming,54
geyser r2000,53
needed will,53
up covered,53
r1 750,52
client possible,51
excess applicable,51
for the,51
geyser component,51
needs be,51
no hot,51
real estate,51
repairs geyser,51
reported client,51
building cover,50
components subject,50
estate policy,50
extended include,50
heating system,50
maximum r1,50
policy wording,50
santam specialist,50
specialist real,50
subject maximum,50
system extended,50
wording water,50
00 excess,49
750 one,49
contact no,49
fifty rand,49
if repairable,49
one thousand,49
r280 bill,49
seven hundred,49
thousand seven,49
200l geyser,48
be replaced,48
called advised,48
exceeds r900,48
report burst,48
sp call,48
the santam,48
urgent assistance,48
150l geyser,47
_x000d_ geyser,47
clients own,47
geyser size,47
possibly burst,47
rand unit,47
unit period,47
12 calendar,46
_x000d_ excesses_x000d_,46
amount payable,46
annual period,46
be for,46
be subject,46
calendar months,46
claims lodged,46
cover defined,46
cover will,46
eezi assist,46
extension cover,46
first amount,46
insurance commencing,46
insurance terms,46
king price,46
lodged cover,46
months commencing,46
non monthly,46
not heating,46
parts if,46
payable otherwise,46
policies 12,46
policies annual,46
subject first,46
terms extension,46
00_x000d_ geyser,45
africa_x000d_ client,45
application eezi,45
assist panic,45
component cover_x000d_,45
is not,45
mobile application,45
100l 150l,44
and_x000d_ fifty,44
called in,44
cover_x000d_ repairs,44
hundred and_x000d_,44
include cover_x000d_,44
_x000d_ monthly,43
_x000d_ period,43
client burst,43
date_x000d_ claims,43
date_x000d_ non,43
defined _x000d_,43
drain r2000,43
first parts_x000d_,43
geyser geyser,43
geyser needs,43
insurance _x000d_,43
otherwise stated_x000d_,43
pipe roof,43
said client,43
schedule _x000d_,43
stated_x000d_ schedule,43
a leaking,42
blocked toilet,42
burst report,42
geyser was,42
a blocked,41
be appointed,41
cover_x000d_ the,41
reported burst,41
toilet client,41
up _x000d_,41
visible leaking,41
client has,40
clients account,40
drain covered,40
gmail com,40
visible pipe,40
was replaced,40
client requested,39
pipe ceiling,39
r 250_x000d_,39
remaining limit,39
town south,39
africa if,38
excess costs,38
own sp,38
covered labour,37
has a,37
said clients,37
send report,37
sp compile,37
cost exceeds,36
costs are,36
covered 1st,36
go ahead,36
pipe bathroom,36
risk address,36
sp to,36
up the,36
00 geyser,35
broker called,35
compile quote,35
please proceed,35
vat 100l,35
vat 200l,35
000 00,34
_x000d_ confirmed,34
claim be,34
cost exceed,34
geyser if,34
labor only,34
not covered,34
reporting possible,34
with a,34
co za_x000d_,33
incl vat,33
johannesburg south,33
kp called,33
leak coming,33
quote geyser,33
santam called,33
b r10120,32
client leak,32
confirmed excess,32
