Word,Frequency
client,5555
geyser,3806
covered,2439
r280,2223
r2000,2154
_x000d_,2140
excess,1871
r600,1726
leaking,1724
called,1485
r,1431
the,1306
burst,1252
reported,1064
report,1018
parts,884
litre,842
pipe,794
cover,747
if,700
heating,696
drain,676
be,642
advised,617
blocked,606
first,593
broker,575
water,546
up,532
repairs,520
cost,500
south,477
00,468
possible,463
95_x000d_,443
quote,437
liable,434
clients,424
there,418
leak,406
bill,401
no,385
replacement,373
unit,372
to,362
call,360
please,352
africa,350
needs,346
street,335
toilet,334
sp,331
10,314
1,309
out,302
said,293
exceeds,288
and,282
a,278
repair,274
assistance,261
are,256
r600_x000d_,252
mr,246
reporting,244
limit,243
11,241
250,234
needed,229
assist,222
tap,219
callout,212
advise,208
labor,206
will,206
only,203
location,202
mrs,190
r900,188
labour,187
for,185
200,184
50,183
faulty,183
required,182
150,181
100,179
should,176
1st,174
is,174
amount,173
not,171
plumber,170
can,168
13,166
send,163
event,161
pay_x000d_,160
was,157
damage,156
solar,156
20,155
visible,152
road,150
vat,150
1750,147
280,147
tripping,147
insurance,146
claims,145
payable,144
claim,143
pay,143
600,142
193,141
714,141
774,141
own,140
640,139
period,139
00_x000d_,138
261,138
2000,136
any,136
estate,136
parts_x000d_,135
contact,131
ceiling,127
95,124
bathroom,124
minus,124
concealed,123
provider,123
replaced,123
service,123
may,122
geysers,120
one,120
costs,119
hot,119
avenue,118
limits,118
park,118
taps,118
coming,115
fee,113
45_x000d_,112
have,112
r1500,111
pretoria,108
including,107
subject,107
when,106
address,105
quotation,105
valve,105
paid,104
machine,103
roof,103
exceed,102
detection,101
kitchen,101
santam,101
confirmed,100
hour,100
account,99
case,99
africa_x000d_,97
number,97
excluding,96
proceed,96
s,96
co,95
requested,94
maximum,93
review,93
commencing,92
inception,92
monthly,92
policies,92
psg,92
in,91
150l,89
cover_x000d_,89
replace,89
building,88
with,88
200l,87
excesses_x000d_,87
date_x000d_,86
that,86
2,85
components,84
need,84
12,83
cape,82
he,82
100l,81
hours,81
replacements,79
applicable,78
repaired,77
urgent,77
0114892000,75
sent,74
r8250,73
shower,73
electricity,72
has,72
1500_x000d_,71
pressure,71
use,71
town,70
r10,68
system,68
5,66
include,66
policy,66
back,65
related,65
from,64
r1,64
st,64
we,63
of,62
go,61
new,60
pipes,60
r1000,60
ref,60
za,60
000,59
non,59
does,58
van,58
possibly,57
repairable,57
wall,57
kp,56
terms,56
then,56
warranty,55
element,54
house,54
component,53
installation,53
r10120,53
would,53
750,52
months,52
rand,52
14,51
king,51
real,51
sink,51
8,50
extended,50
extension,50
seven,50
specialist,50
sure,50
thousand,50
wording,50
com,49
fifty,49
hundred,49
schedule,49
working,49
15,48
25_x000d_,48
3,48
centurion,48
log,48
plumbing,48
r9,48
request,48
provide,47
size,47
annual,46
appointed,46
